"subj","tp","Visual.Commet.Freeview","exclude"
"s176","fu","",0
"s192","fu","ok",0
"s289","bl","",0
"s74","bl","",0
"s20","bl","",0
"s323","fu","",0
"s305","fu","",0
"s317","bl","",0
"s296","bl","",0
"s333","fu","",0
"s104","bl","",0
"s27","fu","",0
"s266","fu","",0
"s41","fu","",0
"s204","fu","",0
"s344","fu","",0
"s177","fu","",0
"s255","fu","",0
"s267","bl","",0
"s183","fu","",0
"s180","bl","",0
"s54","bl","tiny stripes, but ok",0
"s11","bl","",0
"s159","bl","",0
"s289","fu","",0
"s328","bl","",0
"s298","bl","",0
"s46","fu","",0
"s368","bl","ok",0
"s24","fu","ok, large ventricles",0
"s81","fu","",0
"s194","fu","",0
"s231","fu","",0
"s119","bl","",0
"s70","fu","stripy pattern on FA image",1
"s333","bl","",0
